City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Swan Hill,-35.3378,143.5544,59.95,87,82,11.7,AU,1666736656
Mataura,-46.1927,168.8643,54.48,60,100,4.14,NZ,1666736812
Ixtapa,20.7,-105.2,85.23,74,40,9.22,MX,1666736657
Los Llanos de Aridane,28.6585,-17.9182,67.75,75,40,5.99,ES,1666736813
Port-Cartier,50.0334,-66.8654,48.42,90,98,2.66,CA,1666736280
Tiarei,-17.5333,-149.3333,82.42,84,100,24.36,PF,1666736813
Roald,62.5833,6.1333,53.76,93,100,5.75,NO,1666736814
Mamlyutka,54.9375,68.5394,32.09,91,100,3.53,KZ,1666736260
Tuatapere,-46.1333,167.6833,52.32,78,100,2.33,NZ,1666736220
Bredasdorp,-34.5322,20.0403,60.78,74,100,7.63,ZA,1666736659
Bathsheba,13.2167,-59.5167,81.21,83,40,18.41,BB,1666736814
Tiksi,71.6872,128.8694,18.41,91,100,12.75,RU,1666736815
San Pelayo,8.9583,-75.8363,80.2,89,97,7.7,CO,1666736660
Sibu,2.3,111.8167,75.51,100,40,1.14,MY,1666736815
Churapcha,62.0025,132.4325,19.33,97,96,7.72,RU,1666736661
Kouango,4.9934,19.9619,72.45,93,96,1.48,CF,1666736815
Albany,42.6001,-73.9662,68.27,88,96,1.01,US,1666736477
Mahébourg,-20.4081,57.7,73.26,78,40,9.22,MU,1666736816
East London,-33.0153,27.9116,64.36,69,100,10.67,ZA,1666736813
Vanimo,-2.6741,141.3028,79.16,88,99,3.85,PG,1666736662
Khatanga,71.9667,102.5,3.42,98,88,6.31,RU,1666736816
Shakawe,-18.3667,21.85,80.4,33,83,2.95,BW,1666736817
Upernavik,72.7868,-56.1549,23.2,93,100,10.67,GL,1666736817
Jamestown,42.097,-79.2353,69.44,48,0,5.75,US,1666736622
Ponta do Sol,32.6667,-17.1,73.0,88,44,6.02,PT,1666736817
Ribeira Grande,38.5167,-28.7,62.78,73,85,5.01,PT,1666736818
Khandyga,62.6667,135.6,22.1,92,100,9.08,RU,1666736818
Pozo Colorado,-23.4923,-58.7972,85.6,34,0,6.93,PY,1666736819
Griffith,41.5284,-87.4237,62.49,97,100,3.44,US,1666736819
Lavrentiya,65.5833,-171.0,26.64,77,95,13.98,RU,1666735943
Williams Lake,52.1415,-122.1445,44.06,65,100,10.36,CA,1666736819
Ārvi,20.9833,78.2333,65.79,61,0,3.6,IN,1666736820
Baillif,16.0202,-61.7463,80.1,82,99,15.84,GP,1666736820
Novoanninskiy,50.5287,42.6747,39.56,71,25,5.53,RU,1666736820
Ozar,20.1,73.9333,65.35,60,0,0.89,IN,1666736821
College,64.8569,-147.8028,24.75,78,20,12.66,US,1666736821
Castro,-24.7911,-50.0119,63.12,84,0,4.74,BR,1666736668
Kloulklubed,7.0419,134.2556,84.11,78,100,21.41,PW,1666736283
Bluff,-46.6,168.3333,54.81,82,100,9.6,NZ,1666736821
Makhachkala,42.9764,47.5024,46.38,59,2,3.47,RU,1666736669
Devils Lake,48.1128,-98.8651,37.94,77,100,14.97,US,1666736822
Broken Hill,-31.95,141.4333,64.06,59,93,3.51,AU,1666736823
Fortuna,40.5982,-124.1573,61.93,75,0,13.8,US,1666736823
Bethel,41.3712,-73.414,69.89,88,100,6.91,US,1666736824
Butaritari,3.0707,172.7902,81.21,76,57,3.38,KI,1666736670
San Quintín,30.4833,-115.95,71.08,27,0,11.1,MX,1666736824
Aranos,-24.1333,19.1167,76.06,13,94,13.18,NA,1666736824
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,64,40,13.42,RU,1666736771
Hithadhoo,-0.6,73.0833,82.18,72,44,12.26,MV,1666736671
Isangel,-19.55,169.2667,80.71,78,75,5.75,VU,1666736825
Huainan,32.6264,116.9969,59.56,59,100,7.99,CN,1666736825
Mandera,3.9366,41.867,83.17,59,83,12.88,KE,1666736826
Port-Gentil,-0.7193,8.7815,78.76,94,40,5.75,GA,1666736826
Yellowknife,62.456,-114.3525,23.56,86,75,11.5,CA,1666736826
Touba,8.2833,-7.6833,76.01,69,90,0.63,CI,1666736827
Acajutla,13.5928,-89.8275,82.49,77,100,4.65,SV,1666736827
Tucuruí,-3.7661,-49.6725,83.73,67,100,1.63,BR,1666736827
Atuona,-9.8,-139.0333,77.32,68,3,16.51,PF,1666736674
Verāval,20.9,70.3667,77.09,66,1,8.79,IN,1666736674
Zykovo,55.9519,93.1461,21.94,62,9,4.09,RU,1666736674
Nagornyy,52.7959,83.5498,29.3,59,0,4.76,RU,1666736675
Kachug,53.9606,105.8817,24.44,63,59,2.19,RU,1666736675
Walvis Bay,-22.9575,14.5053,61.09,82,100,8.05,NA,1666736675
Bud,39.447,-86.1758,66.96,91,100,13.27,US,1666736676
Itaituba,-4.2761,-55.9836,81.64,74,100,4.5,BR,1666736676
Carutapera,-1.195,-46.02,79.59,76,80,9.15,BR,1666736829
Verkhnechusovskiye Gorodki,58.1671,57.1086,28.89,88,73,7.16,RU,1666736676
Hirara,24.8,125.2833,73.26,64,75,13.8,JP,1666736677
Aklavik,68.2191,-135.0107,14.0,85,75,2.3,CA,1666736677
Kaitangata,-46.2817,169.8464,55.49,57,100,5.03,NZ,1666736677
Pevek,69.7008,170.3133,-0.27,93,10,5.41,RU,1666736678
Neiafu,-18.65,-173.9833,77.68,65,75,8.05,TO,1666736678
Thompson,55.7435,-97.8558,26.76,93,100,10.36,CA,1666736426
Zapolyarnyy,69.4154,30.8136,27.68,92,99,10.67,RU,1666736678
Barão de Melgaço,-16.1944,-55.9675,86.32,46,35,5.84,BR,1666736254
Ust-Nera,64.5667,143.2,15.1,96,100,9.15,RU,1666736679
Coyhaique,-45.5752,-72.0662,58.95,55,75,4.61,CL,1666736679
Talnakh,69.4865,88.3972,7.66,97,96,2.44,RU,1666736287
Meulaboh,4.1363,96.1285,76.17,90,100,4.83,ID,1666736831
Mehamn,71.0357,27.8492,31.51,58,100,5.7,NO,1666736680
Kapaa,22.0752,-159.319,84.52,72,20,17.27,US,1666736601
Areosa,41.7178,-8.8571,64.11,89,37,19.19,PT,1666736680
Hong Kong,22.2855,114.1577,72.25,72,99,13.0,HK,1666736577
Laguna,38.421,-121.4238,77.09,35,0,5.75,US,1666736075
Puerto del Rosario,28.5004,-13.8627,73.15,88,0,5.75,ES,1666736680
Taltal,-25.4,-70.4833,59.86,73,22,4.09,CL,1666736265
Mar del Plata,-38.0023,-57.5575,69.1,85,0,14.0,AR,1666736681
Cidreira,-30.1811,-50.2056,66.16,79,0,19.08,BR,1666736681
São Filipe,14.8961,-24.4956,78.64,79,84,7.31,CV,1666736681
Kibala,9.1104,18.3463,69.75,94,0,0.0,TD,1666736682
Lata,40.1629,-8.3327,65.8,89,1,4.99,PT,1666736682
Brae,60.3964,-1.353,51.71,88,100,8.99,GB,1666736682
Saskylakh,71.9167,114.0833,-6.14,100,70,3.96,RU,1666736833
Mossamedes,-15.1961,12.1522,68.79,85,35,6.85,AO,1666736683
Jacqueville,5.2052,-4.4146,79.45,86,98,8.72,CI,1666736683
Vaini,-21.2,-175.2,75.36,73,75,5.75,TO,1666736834
Ponta Delgada,37.7333,-25.6667,65.12,68,40,12.66,PT,1666736835
Faya,18.3851,42.4509,60.91,72,22,3.98,SA,1666736684
Killybegs,54.6333,-8.45,54.91,95,100,15.95,IE,1666736684
Cherepovets,59.1333,37.9,34.02,74,71,6.15,RU,1666736684
Saint-Philippe,-21.3585,55.7679,67.59,78,39,14.05,RE,1666736836
Tuktoyaktuk,69.4541,-133.0374,12.2,85,75,6.91,CA,1666736837
Cochrane,51.1834,-114.4687,41.27,67,0,9.22,CA,1666736628
Ojuelos de Jalisco,21.8667,-101.5833,75.76,30,38,6.98,MX,1666736685
Provideniya,64.3833,-173.3,28.51,64,100,15.99,RU,1666736837
Sydney Mines,46.2367,-60.2177,60.67,95,100,6.91,CA,1666736685
Chui,-33.6971,-53.4616,60.48,80,12,11.9,UY,1666736685
Vila,42.0304,-8.1588,54.48,92,98,8.84,PT,1666736686
Carauari,-4.8828,-66.8958,79.68,83,96,1.86,BR,1666736686
Westport,41.1415,-73.3579,69.89,89,45,3.0,US,1666736686
Maturin,9.75,-63.1767,78.64,100,71,9.22,VE,1666736687
Loandjili,-4.7561,11.8578,77.77,88,44,3.09,CG,1666736687
Kumul,42.8,93.45,49.32,41,100,1.7,CN,1666736281
Quatre Cocos,-20.2078,57.7625,73.09,78,21,12.91,MU,1666736687
Nehe,48.4833,124.8333,38.8,64,100,18.21,CN,1666736688
Zhangye,38.9342,100.4517,45.63,43,2,6.11,CN,1666736840
Ancud,-41.8697,-73.8203,52.23,92,84,17.45,CL,1666736688
George Town,5.4112,100.3354,78.73,92,20,2.3,MY,1666736595
Helong,42.5397,128.9972,37.94,58,4,5.88,CN,1666736688
San Cristobal,7.7669,-72.225,75.38,75,100,1.45,VE,1666736841
Kuching,1.55,110.3333,75.42,94,20,1.99,MY,1666736457
Grindavik,63.8424,-22.4338,49.95,87,99,10.36,IS,1666736689
Klaksvík,62.2266,-6.589,49.12,92,100,11.83,FO,1666736689
Sehithwa,-20.4667,22.7167,81.28,31,90,5.19,BW,1666736690
Ahipara,-35.1667,173.1667,64.9,57,42,8.99,NZ,1666736690
Dubai,25.2582,55.3047,80.53,69,0,3.44,AE,1666736572
Saint Paul Harbor,57.79,-152.4072,44.11,81,75,3.44,US,1666736842
Sandakan,5.8402,118.1179,76.68,94,20,3.44,MY,1666736690
Nouakchott,18.0858,-15.9785,76.93,69,100,9.66,MR,1666736691
Coquimbo,-29.9533,-71.3436,58.73,72,75,8.05,CL,1666736597
Atar,20.5169,-13.0499,89.37,12,99,5.46,MR,1666736843
Qaanaaq,77.484,-69.3632,22.3,96,100,3.62,GL,1666736691
Ovalle,-30.5983,-71.2003,63.07,50,0,7.11,CL,1666736692
Igarka,67.4667,86.5833,26.04,97,100,3.13,RU,1666736692
Eureka,40.8021,-124.1637,66.67,84,48,4.0,US,1666736692
Haines Junction,60.7522,-137.5108,24.75,54,6,6.91,CA,1666736692
Lüderitz,-26.6481,15.1594,63.97,61,100,15.01,NA,1666736265
Kamaishi,39.2667,141.8833,51.37,66,92,15.35,JP,1666736693
Iqaluit,63.7506,-68.5145,22.73,92,100,24.16,CA,1666736693
Wilmington,34.2257,-77.9447,66.9,82,3,1.99,US,1666736579
Rio Grande,-32.035,-52.0986,66.31,82,0,16.71,BR,1666736844
Campana,-34.1687,-58.9591,77.13,55,87,7.92,AR,1666736694
Along,28.1667,94.7667,64.62,98,76,1.28,IN,1666736694
Xanxerê,-26.8769,-52.4042,77.11,83,0,2.19,BR,1666736459
Veracruz,19.3333,-96.6667,79.74,81,92,2.21,MX,1666736694
Bengkulu,-3.8004,102.2655,73.99,93,100,5.21,ID,1666736695
Pontianak,-0.0333,109.3333,75.18,94,40,2.3,ID,1666736696
Zhigansk,66.7697,123.3711,1.51,96,89,5.82,RU,1666736696
Waipawa,-41.4122,175.5153,59.83,59,60,13.29,NZ,1666736845
Lagoa,39.05,-27.9833,63.05,67,19,23.38,PT,1666736697
Micheweni,-4.9667,39.8333,75.92,84,14,7.47,TZ,1666736697
Rancho Palos Verdes,33.7445,-118.387,80.53,57,0,12.66,US,1666736697
Asău,46.4333,26.4,52.72,90,96,2.37,RO,1666736698
Geraldton,-28.7667,114.6,48.61,87,0,3.44,AU,1666736698
Derzhavīnsk,51.1,66.3167,37.83,61,100,6.8,KZ,1666736698
Peniche,39.3558,-9.3811,66.29,92,0,16.6,PT,1666736699
Nhulunbuy,-12.2333,136.7667,84.81,74,28,10.36,AU,1666736699
Erzin,36.9559,36.2,69.37,35,34,6.64,TR,1666736699
Belomorsk,64.5232,34.7668,29.73,90,95,5.61,RU,1666736700
Guadalupe y Calvo,26.1,-106.9667,63.03,29,66,7.14,MX,1666736700
Kavaratti,10.5669,72.642,81.9,61,95,7.96,IN,1666736700
Souillac,-20.5167,57.5167,71.98,78,40,9.22,MU,1666736701
Tiznit Province,29.5833,-9.5,80.02,16,83,10.09,MA,1666736701
Namwala,-15.7504,26.4384,76.41,42,5,3.78,ZM,1666736701
Ust'-Tarka,55.5672,75.705,30.27,78,100,7.34,RU,1666736702
Basco,20.4487,121.9702,78.01,66,99,24.96,PH,1666736702
Clyde River,70.4692,-68.5914,5.23,66,0,4.61,CA,1666736703
Port Macquarie,-31.4333,152.9167,76.89,62,8,5.53,AU,1666736582
Mackay,-21.15,149.2,85.68,63,33,0.87,AU,1666736434
Cairns,-16.9167,145.7667,86.11,74,0,2.3,AU,1666736704
Vila Velha,-20.3297,-40.2925,70.95,96,100,3.44,BR,1666736848
Léo,11.1,-2.1,81.18,35,14,5.97,BF,1666736459
Khurba,50.4072,136.8819,33.21,78,30,9.93,RU,1666736704
Cartagena,10.3997,-75.5144,83.82,79,40,6.91,CO,1666736471
Longfeng,46.55,125.1167,46.36,61,100,7.05,CN,1666736705
Alice Town,25.7167,-79.3,78.44,66,1,11.81,BS,1666736705
Burnie,-41.0667,145.9167,57.94,85,100,8.68,AU,1666736849
Calvinia,-31.4707,19.776,57.85,47,100,3.53,ZA,1666736706
Corrente,-3.7367,-43.3394,75.47,89,90,3.49,BR,1666736706
Sola,-13.8833,167.55,79.21,76,7,1.07,VU,1666736285
Madīnat Sittah Uktūbar,29.8167,31.05,71.2,78,25,11.74,EG,1666736707
Chistogorskiy,53.9835,87.3843,29.52,70,2,2.68,RU,1666736707
Buala,-8.145,159.5921,84.02,71,57,3.76,SB,1666736708
Uşak Province,38.5,29.4167,54.21,39,0,6.35,TR,1666736708
Nanortalik,60.1432,-45.2371,33.67,76,1,4.79,GL,1666736709
Samarai,-10.6167,150.6667,81.95,68,18,7.54,PG,1666736257
Anadyr,64.75,177.4833,7.3,84,75,8.95,RU,1666736709
Mier,26.4333,-99.15,80.91,16,0,8.88,MX,1666736710
Sibolga,1.7427,98.7792,75.49,88,100,2.84,ID,1666736710
Todos Santos,23.45,-110.2167,86.05,72,5,7.25,MX,1666736710
Kitgum,3.2783,32.8867,72.82,70,98,3.04,UG,1666736711
Manitouwadge,49.1215,-85.8403,43.16,71,90,10.49,CA,1666736711
Te Anau,-45.4167,167.7167,51.3,90,100,4.41,NZ,1666736711
Matara,5.9485,80.5353,75.9,89,100,3.58,LK,1666736712
Tambura,5.6,27.4667,67.46,94,99,1.97,SS,1666736712
Horodok,49.1637,26.5839,50.97,96,82,5.53,UA,1666736713
Goderich,43.7501,-81.7165,66.52,52,95,8.05,CA,1666736713
Hvide Sande,56.0045,8.1294,52.09,89,62,11.79,DK,1666736713
Thap Than,15.4606,99.8917,76.23,87,100,2.44,TH,1666736714
Catalão,-18.1658,-47.9464,79.7,29,39,4.0,BR,1666736665
Çermik,38.1361,39.4493,58.73,37,0,2.64,TR,1666736714
Saint-Leu,-21.15,55.2833,70.63,74,29,4.05,RE,1666736715
Carnarvon,-24.8667,113.6333,63.23,68,0,22.73,AU,1666736716
Saint-Pierre,-21.3393,55.4781,70.92,77,0,5.75,RE,1666736262
Porto Murtinho,-21.6989,-57.8825,84.96,37,0,4.81,BR,1666736716
Beringovskiy,63.05,179.3167,20.97,78,97,10.94,RU,1666736717
Saint-Augustin,51.226,-58.6502,52.9,78,68,7.36,CA,1666736717
Lorengau,-2.0226,147.2712,84.07,67,100,4.61,PG,1666736718
Bonfim,3.0833,-59.95,84.43,67,92,3.58,BR,1666736718
Yangi Marg`ilon,40.4272,71.7189,56.12,82,40,4.61,UZ,1666736718
Nantucket,41.2835,-70.0995,68.11,95,100,9.22,US,1666736648
Lompoc,34.6391,-120.4579,79.02,67,0,20.71,US,1666736719
Lamu,-2.2717,40.902,79.02,85,100,11.34,KE,1666736719
Iaçu,-12.7672,-40.2117,75.11,79,100,6.4,BR,1666736720
Wolfsburg,52.4333,10.8,55.45,65,29,5.21,DE,1666736720
Eišiškės,54.1667,25.0,49.15,95,80,5.79,LT,1666736720
Kruisfontein,-34.0033,24.7314,60.89,71,100,9.08,ZA,1666736853
Laas,46.6166,10.7002,52.68,91,82,2.24,IT,1666736721
Olafsvik,64.8945,-23.7142,41.74,81,100,19.77,IS,1666736722
Oranjemund,-28.55,16.4333,57.38,89,99,9.78,NA,1666736722
Bubaque,11.2833,-15.8333,84.79,74,25,8.68,GW,1666736722
Virginia Beach,36.8529,-75.978,63.01,94,100,4.61,US,1666736694
Longkou,37.6508,120.3286,56.73,77,100,12.08,CN,1666736723
Broome,42.2506,-75.833,67.06,80,0,4.61,US,1666736723
Hauterive,46.0901,3.4459,65.16,70,91,3.91,FR,1666736724
Indian Head,38.6001,-77.1622,65.25,83,100,8.05,US,1666736566
Nome,64.5011,-165.4064,28.47,70,20,28.77,US,1666736854
Baruun-Urt,46.6806,113.2792,20.39,51,0,6.58,MN,1666736724
Sungai Raya,0.7,108.9,76.1,92,100,4.45,ID,1666736725
Salem,11.65,78.1667,69.37,72,9,3.8,IN,1666736472
Vestmannaeyjar,63.4427,-20.2734,44.91,86,100,20.49,IS,1666736725
Outjo,-20.1167,16.15,74.48,27,12,10.25,NA,1666736725
Ostër,50.9506,30.8823,52.07,97,100,3.38,UA,1666736726
Hīt,33.6416,42.8251,72.37,19,42,5.66,IQ,1666736726
Sindor,62.8629,51.8905,27.79,96,66,4.41,RU,1666736726
Rocha,-34.4833,-54.3333,60.13,81,8,10.98,UY,1666736727
Buşayrā,30.7376,35.6078,61.27,59,2,10.18,JO,1666736727
Euclid,41.5931,-81.5268,72.18,50,0,5.75,US,1666736727
Rognan,67.0953,15.3878,44.06,87,100,3.42,NO,1666736728
Port Lincoln,-34.7333,135.8667,58.23,82,87,11.03,AU,1666736728
Bambari,5.768,20.6757,73.02,84,97,0.63,CF,1666736728
Newton,42.337,-71.2092,65.5,96,100,8.05,US,1666736729
Barabai,-2.5833,115.3833,74.19,99,99,1.99,ID,1666736729
Lermontovka,47.1453,134.3383,34.74,63,5,8.43,RU,1666736729
Nelson Bay,-32.7167,152.15,76.08,68,61,5.99,AU,1666736730
Ko Samui,9.5357,99.9357,80.51,89,20,3.44,TH,1666736730
Hualmay,-11.0964,-77.6139,64.81,75,14,11.27,PE,1666736730
Cockburn Town,21.4612,-71.1419,80.19,71,100,3.13,TC,1666736731
Panguna,-6.3164,155.4848,78.04,73,96,0.87,PG,1666736731
Cortez,37.3489,-108.5859,55.04,34,0,8.05,US,1666736731
Chernyshevskiy,63.0128,112.4714,25.39,87,100,9.75,RU,1666736732
Zabaykal'sk,49.6333,117.3167,25.79,53,33,12.1,RU,1666736732
Puerto Escondido,15.85,-97.0667,85.03,54,40,9.22,MX,1666736732
Marzuq,14.4,46.4667,66.25,60,6,2.86,YE,1666736464
Ugoofaaru,5.6667,73.0,80.53,81,90,6.55,MV,1666736733
Vanavara,60.34,102.2797,28.36,78,96,11.1,RU,1666736283
Flinders,-34.5833,150.8552,70.18,78,68,5.99,AU,1666736733
Banff,51.1762,-115.5698,38.43,41,78,10.36,CA,1666736733
Barra do Garças,-15.89,-52.2567,82.96,49,31,4.14,BR,1666736734
Chimbote,-9.0853,-78.5783,64.81,75,47,9.86,PE,1666736476
Cradock,-32.1642,25.6192,55.11,69,100,8.08,ZA,1666736734
Grand Gaube,-20.0064,57.6608,73.38,72,35,4.0,MU,1666736734
Zafra,38.4167,-6.4167,64.24,73,100,3.83,ES,1666736735
Pompéu,-19.2244,-44.9353,73.96,52,30,5.82,BR,1666736562
Hobyo,5.3505,48.5268,79.3,83,89,10.47,SO,1666736735
West Bay,19.3667,-81.4167,86.07,71,20,8.05,KY,1666736735
Leirvik,59.7798,5.5005,53.64,91,49,5.75,NO,1666736736
Kologriv,58.8275,44.3178,29.12,92,7,1.16,RU,1666736467
Norman Wells,65.282,-126.8329,19.44,86,75,4.61,CA,1666736858
Caxito,-8.5785,13.6643,77.63,82,19,3.38,AO,1666736736
Mvuma,-19.2792,30.5283,68.29,52,63,5.55,ZW,1666736737
Taoudenni,22.6783,-3.9836,82.58,12,82,10.69,ML,1666736737
Karpathos,35.507,27.2132,64.36,88,0,6.91,GR,1666736737
Batticaloa,7.7102,81.6924,78.03,82,69,1.05,LK,1666736737
Egvekinot,66.3167,-179.1667,8.08,84,40,4.85,RU,1666736859
Rincon,32.296,-81.2354,73.36,72,40,8.05,US,1666736738
Harper,4.375,-7.7169,77.25,90,52,7.96,LR,1666736738
Sitka,57.0531,-135.33,46.29,61,20,0.0,US,1666736739
San Rafael,-34.6177,-68.3301,68.49,51,83,19.51,AR,1666736739
Sobolevo,54.4299,31.8996,44.76,90,100,8.48,RU,1666736739
Coxim,-18.5067,-54.76,89.13,29,1,7.18,BR,1666736739
Ziro,27.6333,93.8333,51.33,98,96,0.38,IN,1666736740
Kidal,18.4411,1.4078,82.98,20,94,10.92,ML,1666736740
Zyryanka,65.75,150.85,11.82,96,100,11.25,RU,1666736740
Ocós,14.5094,-92.1933,87.98,73,11,7.7,GT,1666736266
Guerrero Negro,27.9769,-114.0611,76.87,32,0,11.61,MX,1666736860
Vila Franca do Campo,37.7167,-25.4333,64.81,69,100,10.42,PT,1666736741
Kavieng,-2.5744,150.7967,83.77,74,100,6.08,PG,1666736861
Karratha,-20.7377,116.8463,73.98,27,0,9.71,AU,1666736741
Arivonimamo,-19.0167,47.1833,62.65,75,97,0.34,MG,1666736742
Ivolginsk,51.7492,107.2837,10.06,85,0,2.24,RU,1666736742
Aldan,58.6031,125.3894,20.52,92,100,8.93,RU,1666736742
Cuamba,-14.8031,36.5372,79.02,34,94,2.64,MZ,1666736742
Kulhudhuffushi,6.6221,73.07,80.04,80,82,4.92,MV,1666736743
Bellevue,47.6104,-122.2007,51.75,91,100,16.11,US,1666736345
San Carlos,9.6612,-68.5827,81.05,75,100,1.34,VE,1666736743
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,90.05,30,8,8.32,AR,1666736744
Taicheng,38.731,113.228,48.83,53,100,1.83,CN,1666736744
Moussoro,13.6408,16.4901,83.7,14,2,16.28,TD,1666736744
Aksu,41.1231,80.2644,48.52,34,49,2.66,CN,1666736745
Cayenne,4.9333,-52.3333,80.64,83,100,5.75,GF,1666736745
Mthatha,-31.5889,28.7844,57.52,86,100,4.9,ZA,1666736745
Kupang,-10.1667,123.5833,79.23,81,100,3.96,ID,1666736746
Nemuro,43.3236,145.575,45.61,54,9,5.48,JP,1666736746
Kirakira,-10.4544,161.9205,84.0,73,2,3.31,SB,1666736746
Dunedin,-45.8742,170.5036,55.78,56,100,2.51,NZ,1666736707
Superior,46.7208,-92.1041,45.7,63,40,13.8,US,1666736747
Praia da Vitória,38.7333,-27.0667,59.76,94,40,12.5,PT,1666736747
Campo Grande,-20.4428,-54.6464,83.75,45,40,4.61,BR,1666736747
Boa Vista,2.8197,-60.6733,76.98,88,75,9.22,BR,1666736710
Hanzhong,33.0728,107.0303,56.55,97,100,0.16,CN,1666736748
Epe,6.5841,3.9834,77.52,88,100,4.61,NG,1666736748
Yar-Sale,66.8333,70.8333,19.58,95,99,9.4,RU,1666736748
Manaure,11.7751,-72.4445,79.7,83,100,14.2,CO,1666736749
Borinskoye,52.4569,39.3713,36.27,80,72,6.4,RU,1666736473
Gorontalo,0.5412,123.0595,76.48,89,99,1.68,ID,1666736730
Padang,-0.9492,100.3543,75.47,93,100,3.29,ID,1666736539
Kon Tum,14.35,108.0,70.54,96,100,1.16,VN,1666736749
Henties Bay,-22.116,14.2845,57.9,95,84,4.38,NA,1666736749
